onset	duration	trial_type	score
7.992	3.679	face	67
15.708	2.109	face	52
22.04	1.938	face	62
25.256	1.919	face	92
30.589	2.275	face	58
34.538	2.84	face	46
41.054	4.315	face	72
47.52	3.604	face	51
55.419	4.066	face	100
63.101	3.64	face	63
69.617	1.682	face	58
72.366	2.885	face	73
76.249	3.155	face	73
80.265	3.437	face	68
85.581	3.77	face	69
90.031	1.35	face	81
94.93	4.567	face	66
103.862	3.025	face	74
110.094	3.81	face	72
114.827	2.589	face	61
121.576	2.135	face	59
126.392	2.466	face	62
131.275	2.546	face	73
135.824	3.258	face	61
141.557	3.967	face	73
146.256	2.301	face	55
150.505	4.646	face	47
157.505	2.377	face	56
163.22	3.28	face	53
169.586	2.538	face	66
173.869	3.277	face	59
180.301	2.546	face	59
185.667	1.992	face	61
188.8	2.949	face	70
193.283	2.523	face	81
199.099	1.959	face	68
204.815	2.826	face	43
211.464	4.211	face	47
217.08	2.844	face	50
222.862	2.082	face	58
225.545	2.291	face	61
230.444	3.499	face	63
236.144	3.169	face	51
242.343	2.953	face	73
248.775	2.315	face	53
253.158	2.31	face	52
256.007	3.591	face	95
261.207	4.302	face	35
268.056	1.584	face	36
271.905	1.989	face	43
275.221	2.198	face	45
280.171	1.537	face	77
285.587	3.919	face	40
290.986	2.83	face	73
298.252	3.146	face	61
305.901	3.125	face	49
310.217	3.125	face	78
317.432	3.632	face	77
325.015	2.402	face	74
328.214	2.781	face	58
