onset	duration	trial_type	score
7.153	4.547	face	64.0
14.385	5.334	face	1.0
23.867	2.477	face	4.0
28.35	3.194	face	84.0
32.366	4.575	face	50.0
40.498	4.647	face	1.0
45.681	3.205	face	76.0
51.43	6.176	face	51.0
59.195	3.499	face	1.0
66.578	6.234	face	62.0
76.56	2.765	face	1.0
82.209	3.473	face	1.0
88.691	6.699	face	85.0
98.74	6.357	face	72.0
107.172	4.615	face	1.0
112.921	1.626	face	1.0
118.22	6.947	face	60.0
125.903	3.961	face	80.0
133.968	4.73	face	1.0
141.917	7.853	face	79.0
151.649	9.532	face	49.0
164.264	7.026	face	80.0
171.946	3.002	face	1.0
175.962	5.418	face	61.0
184.128	3.541	face	1.0
190.477	2.354	face	1.0
196.776	2.033	face	1.0
199.876	3.664	face	80.0
205.075	2.841	face	1.0
209.174	5.448	face	1.0
218.04	2.888	face	1.0
225.355	6.295	face	88.0
232.854	3.721	face	1.0
239.72	10.0	face_too-slow	nan
255.785	3.461	face	83.0
261.45	5.315	face	77.0
269.166	2.502	face	1.0
273.065	5.717	face	96.0
280.114	3.196	face	1.0
286.597	3.909	face	1.0
292.979	2.029	face	1.0
298.629	5.088	face	1.0
307.744	1.841	face	1.0
311.327	3.689	face	1.0
319.309	2.137	face	1.0
325.925	5.729	face	65.0
334.274	2.744	face	1.0
341.373	1.851	face	1.0
344.106	2.803	face	1.0
349.055	5.878	face	45.0
357.287	3.382	face	1.0
362.47	4.893	face	60.0
369.319	4.67	face	79.0
376.268	3.329	face	1.0
381.284	1.923	face	1.0
384.667	6.802	face	66.0
394.415	2.498	face	1.0
400.731	2.591	face	1.0
403.914	4.624	face	1.0
412.779	2.019	face	1.0
418.278	2.291	face	1.0
