onset	duration	trial_type	score
7.584	1.568	food	92
12.233	2.42	food	58
15.516	2.023	food	100
19.082	3.994	food	59
26.764	4.425	food	2
34.663	2.907	food	88
41.996	3.029	food	86
46.312	4.465	food	20
53.927	2.004	food	83
57.743	2.43	food	88
60.776	4.3	food	65
65.876	2.113	food	72
70.475	3.127	food	59
76.474	1.653	food	75
82.14	3.232	food	50
88.322	4.742	food	1
96.821	2.815	food	82
101.254	1.84	food	88
104.837	5.906	food	78
114.969	1.262	food	69
118.235	3.51	food	87
123.218	2.025	food	79
129.4	3.454	food	79
134.799	5.145	food	74
140.948	2.754	food	96
146.931	3.832	food	86
155.13	1.61	food	74
158.813	2.574	food	86
163.745	3.72	food	80
169.144	2.607	food	86
175.577	3.652	food	72
181.443	2.065	food	86
187.609	3.581	food	77
195.158	1.67	food	75
198.974	6.533	food	92
206.656	3.042	food	88
212.988	2.337	food	98
218.871	2.475	food	80
222.404	10.696	food	100
236.118	3.618	food	34
242.551	2.536	food	92
245.75	4.69	food	98
251.85	3.148	food	100
257.682	9.888	food	100
269.447	2.34	food	87
274.196	2.997	food	88
281.695	1.687	food	97
287.678	3.23	food	83
294.81	2.985	food	41
300.543	2.636	food	100
305.792	2.04	food	100
309.158	4.14	food	91
314.041	2.001	food	89
319.673	4.225	food	59
327.256	2.634	food	96
332.172	2.103	food	100
334.805	1.945	food	97
340.171	1.678	food	92
342.787	2.527	food	100
347.853	1.934	food	81
