onset	duration	trial_type	score
9.243	2.554	face	66
12.326	2.96	face	57
18.975	2.886	face	26
23.808	2.983	face	77
28.807	2.238	face	66
34.923	2.902	face	74
39.572	4.365	face	74
47.754	3.238	face	61
51.92	3.251	face	45
56.586	1.872	face	60
60.669	3.277	face	57
67.485	4.659	face	74
74.617	2.777	face	36
80.35	3.532	face	32
86.766	3.819	face	66
92.998	4.07	face	73
97.797	2.691	face	71
103.963	2.891	face	55
111.345	5.276	face	66
118.494	4.211	face	54
126.327	4.364	face	66
132.176	4.574	face	81
140.708	4.011	face	75
147.34	2.123	face	69
152.89	4.319	face	27
161.239	3.826	face	56
165.938	2.459	face	60
172.754	2.651	face	80
179.703	3.028	face	76
185.285	2.656	face	66
190.768	3.091	face	64
196.884	3.875	face	41
204.916	3.753	face	65
212.015	3.312	face	28
218.614	4.384	face	29
225.28	3.115	face	59
229.196	2.435	face	28
234.378	4.316	face	54
240.244	4.27	face	63
246.643	3.268	face	63
253.059	3.615	face	57
257.342	6.473	face	24
265.491	2.967	face	32
270.257	4.651	face	55
275.989	3.979	face	29
282.322	7.432	face	63
293.987	4.767	face	56
301.969	3.815	face	21
307.868	3.115	face	33
312.267	4.46	face	53
317.733	2.897	face	75
321.233	3.581	face	18
326.032	5.791	face	27
333.414	3.966	face	56
340.064	3.241	face	31
344.646	3.746	face	63
352.828	2.775	face	74
356.745	3.812	face	54
364.66	2.784	face	58
371.193	2.79	face	82
