onset	duration	trial_type	score
9.112	2.867	face	86
13.395	1.655	face	64
18.794	2.27	face	34
24.41	3.842	face	81
32.526	3.468	face	12
39.141	3.392	face	11
43.674	2.588	face	85
50.74	1.572	face	73
56.256	2.259	face	77
61.522	1.944	face	10
65.538	2.245	face	10
71.337	4.44	face	26
77.453	5.6	face	3
84.535	4.568	face	47
90.101	3.326	face	39
95.017	5.307	face	51
103.199	4.111	face	73
111.731	2.859	face	47
116.797	6.775	face	3
127.929	9.027	face	26
138.228	2.913	face	100
142.344	2.094	face	38
148.51	2.134	face	100
153.392	2.123	face	85
156.058	2.543	face	14
161.074	2.141	face	79
165.357	1.676	face	62
169.707	1.701	face	100
174.689	2.849	face	8
180.955	4.903	face	50
187.737	5.655	face	3
196.003	1.635	face	53
198.503	2.533	face	100
201.635	2.78	face	100
206.768	2.616	face	70
210.184	2.764	face	40
214.017	3.625	face	3
220.183	3.67	face	53
227.665	4.746	face	7
233.081	3.724	face	3
240.947	3.713	face	3
248.879	6.589	face	79
257.478	5.867	face	3
265.077	2.466	face	23
268.893	2.505	face	100
272.926	6.658	face	80
283.474	2.965	face	5
288.257	3.712	face	4
292.923	3.972	face	1
300.105	1.631	face	58
304.821	5.985	face	3
313.62	2.91	face	100
320.536	3.692	face	38
327.851	2.751	face	100
332.534	6.176	face	58
342.183	2.594	face	5
348.465	4.345	face	3
353.548	3.45	face	100
359.28	2.668	face	17
364.363	2.441	face	100
