onset	duration	trial_type	score
8.748	5.176	face	39
16.263	3.521	face	1
23.795	3.677	face	1
28.278	5.041	face	54
35.194	2.687	face	1
39.96	4.507	face	1
45.792	3.112	face	33
53.391	7.218	face	77
61.624	5.18	face	12
68.489	2.031	face	60
74.072	6.721	face	26
84.737	4.603	face	80
93.619	3.052	face	79
98.618	5.138	face	89
106.984	2.939	face	24
113.2	3.705	face	1
120.515	2.831	face	100
125.498	3.032	face	100
130.347	4.188	face	13
137.696	1.53	face	35
140.363	6.936	face	3
148.845	4.738	face	88
155.877	2.237	face	63
158.843	1.371	face	48
161.293	3.763	face	25
168.742	3.03	face	1
175.858	2.588	face	1
180.99	3.003	face	100
185.606	5.587	face	28
191.789	1.65	face	35
194.855	4.188	face	89
201.054	2.442	face	1
207.853	6.406	face	69
215.119	1.24	face	67
219.701	4.995	face	3
227.184	2.526	face	55
231.0	3.676	face	1
237.632	2.024	face	2
242.465	2.699	face	8
246.648	3.915	face	21
252.78	2.866	face	39
259.546	2.261	face	1
263.545	2.424	face	19
269.045	1.88	face	8
273.944	2.991	face	1
279.61	2.132	face	36
282.943	2.597	face	1
286.076	3.146	face	1
292.108	2.606	face	40
298.524	4.226	face	11
303.673	4.794	face	100
311.889	3.852	face	1
319.971	3.003	face	55
327.12	3.559	face	1
334.169	2.901	face	38
339.835	3.127	face	4
345.384	3.592	face	1
353.399	3.238	face	8
357.299	3.355	face	86
364.415	3.322	face	100
